,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),52-Week Change,S&P500 52-Week Change,52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,"Shares Short (Jan 31, 2019)","Short Ratio (Jan 31, 2019)","Short % of Float (Jan 31, 2019)","Short % of Shares Outstanding (Jan 31, 2019)","Shares Short (prior month Dec 31, 2018)",Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Last Split Factor (new per old),Last Split Date
FSLR,5420000000.0,3200000000.0,,20.19,11.8,2.86,1.05,1.69,29.88,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.1798,-0.0042,-0.0007,-0.0637,1890000000.0,18.08,-0.37799999999999995,548950000.0,107060000.0,-340240000.0,-3.25,-0.7190000000000001,2730000000.0,26.05,472110000.0,9.13,4.48,49.33,292650000.0,-279430000.0,0.94,-0.2145,0.027999999999999997,81.72,36.51,48.24,46.98,1560000.0,1530000.0,104810000.0,75240000.0,0.28190000000000004,0.6309,10660000.0,7.34,0.1305,0.1017,10940000.0,,,,,,0.0,,,,
FSM,606590000.0,523720000.0,9.23,11.55,,2.17,1.02,1.88,4.09,2017-12-31 00:00:00,2018-09-30 00:00:00,0.2361,0.3681,0.0923,0.1168,279060000.0,1.75,-0.069,108580000.0,128210000.0,65900000.00000001,0.41,-0.33299999999999996,177040000.0,1.11,41800000.0,6.97,4.43,3.75,93140000.0,6290000.0,-0.25,-0.1043,0.027999999999999997,6.08,3.16,3.76,3.94,877030.0,633400.0,159940000.0,159090000.0,,,935660.0,0.81,,0.0041,985100.0,,,,,,0.0,,,,
FSNN,158480000.0,777650000.0,,-5.68,,,,,,,2018-09-30 00:00:00,0.0,0.0,,,,,0.276,,,,-0.79,,15430000.0,0.19,625570000.0,,,-1.74,,,0.97,-0.5322,0.027999999999999997,5.85,1.38,1.87,2.56,145390.0,133830.0,82110000.0,,0.3616,0.1394,3420000.0,32.25,0.1567,0.0416,3240000.0,,,,,,0.0,,,1.0,2018-05-07 00:00:00
FSP,799940000.0,1730000000.0,61.15,,,2.9,0.96,6.26,12.31,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0474,0.1888,0.0168,0.0153,275970000.0,2.57,0.002,152310000.0,140260000.0,13070000.0,0.12,,25940000.0,0.24,988130000.0,117.97,1.47,7.81,80200000.0,101700000.0,1.79,-0.1295,0.027999999999999997,9.22,5.87,7.13,7.56,492260.0,407600.0,107230000.0,102910000.0,0.0364,0.8506999999999999,2040000.0,5.74,0.0326,0.019,1680000.0,0.36,0.0509,0.36,0.0491,6.76,3.8333,2019-02-14 00:00:00,2019-01-24 00:00:00,,
FSS,1380000000.0,1550000000.0,15.17,15.55,1.01,1.3,2.69,1.47,10.52,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0869,0.1056,0.0696,0.1938,1060000000.0,17.67,0.083,221200000.0,147400000.0,90800000.0,1.51,0.736,35000000.0,0.58,222200000.0,43.42,2.03,8.5,93000000.0,114830000.0,1.58,0.164,0.027999999999999997,28.32,18.59,21.44,23.45,270140.0,262300.0,60240000.0,58990000.0,0.0204,0.9474,558030.0,2.16,0.0109,0.0093,255800.0,0.32,0.0146,0.3,0.0132,,0.2013,2018-11-27 00:00:00,2018-11-09 00:00:00,0.75,1994-03-02 00:00:00
FSTR,188120000.0,253950000.0,23.16,,,0.31,1.19,0.42,6.11,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0136,0.0375,0.0363,0.0547,603760000.0,58.3,0.271,104090000.0,41580000.0,8180000.0,0.77,0.5429999999999999,11060000.0,1.05,76470000.0,49.31,1.83,14.96,34280000.0,38770000.0,1.41,-0.3617,0.027999999999999997,30.3,13.91,17.75,19.63,26080.0,31500.0,10560000.0,8810000.0,0.0661,0.6784,52050.0,2.19,0.0063,0.0049,53430.0,,,0.0,0.0,,0.0,2016-09-23 00:00:00,2016-09-07 00:00:00,,
FSV,3140000000.0,3540000000.0,48.68,37.93,2.29,1.63,13.35,1.84,19.17,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0341,0.0684,0.0895,0.2548,1930000000.0,53.72,0.149,611220000.0,184840000.0,65860000.0,1.8,-0.225,66340000.0,1.84,334520000.0,86.26,1.83,6.56,99460000.0,29760000.0,1.22,0.243,0.027999999999999997,90.21,64.87,78.69,78.65,41760.0,42530.0,35970000.0,32190000.0,0.0931,0.7848,60880.0,1.57,,0.0017,44830.0,0.6,0.0068000000000000005,0.54,0.0062,,0.3,2019-04-05 00:00:00,2019-03-28 00:00:00,,
FSZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT,170650000.0,234770000.0,48.85,,,12.3,0.85,16.92,,2018-08-31 00:00:00,2018-08-31 00:00:00,0.2509,0.8394,0.0272,0.0171,13880000.0,0.55,0.008,13880000.0,,3480000.0,0.14,0.021,,,64879999.99999999,32.31,2.78,7.99,4650000.0,6470000.0,0.36,-0.0044,0.027999999999999997,6.91,6.05,6.61,6.61,65750.0,47030.0,25130000.0,,0.0,0.2066,,,,,,0.38,0.057,0.38,0.0565,,2.9538,2019-02-15 00:00:00,2018-03-28 00:00:00,,
FTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTAC,430030000.0,78980000.0,,,,,3236.67,,,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0,0.0,,,,,,,,-2510.0,-0.0,,144380.0,0.02,179620.0,824.53,0.38,0.0,-1760.0,,,?%,0.027999999999999997,10.76,9.63,9.67,9.67,88960.0,26000.0,36150000.0,6490000.0,,,13520.0,0.12,,,,,,,,,,,,,
FTACU,82770000.0,,,,,,3390.0,,,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0,0.0,,,,,,,,-2510.0,-0.0,,144380.0,0.02,179620.0,824.53,0.38,0.0,-1760.0,,,?%,0.027999999999999997,10.17,9.93,10.07,10.05,71720.0,2170.0,8140000.000000001,6490000.0,,,,,,,,,,,,,,,,,
FTAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTAI,1340000000.0,2340000000.0,164.43,20.45,0.66,4.42,1.31,7.71,15.1,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0259,0.0831,0.0072,-0.0202,303410000.0,3.73,0.6759999999999999,125270000.0,154930000.0,7860000.0,0.1,0.527,163140000.0,1.97,1140000000.0,107.11,0.97,12.13,102470000.0,-515500000.0,1.22,-0.0448,0.027999999999999997,19.35,12.84,14.79,16.54,194120.0,334150.0,84050000.0,81990000.0,0.0577,0.4574,361670.0,2.76,0.0044,0.0043,284870.0,1.32,0.0837,1.32,0.0837,,12.9706,2018-11-27 00:00:00,2018-11-15 00:00:00,,
FTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTCH,5800000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,15.99,19.35,21.31,789560.0,680280.0,,,,,,,,,,,,,,,,,,,
FTCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTD,55880000.0,290080000.0,,5.21,-0.03,0.05,0.82,0.28,10.96,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.2961,0.0091,0.0095,-1.4336,1040000000.0,37.58,-0.079,409450000.0,26470000.0,-309350000.0,-11.14,,23120000.0,0.82,255900000.0,376.53,0.24,2.41,14870000.0,16750000.0,2.93,-0.681,0.027999999999999997,6.96,1.39,2.09,2.48,166960.0,145300.0,28220000.0,12270000.0,0.429,0.4838,2330000.0,15.1,0.1348,0.0827,2020000.0,,,,,,0.0,,,,
FTDR,2440000000.0,3090000000.0,16.05,20.61,,1.97,,2.5,13.05,2017-12-31 00:00:00,2018-09-30 00:00:00,0.1229,0.177,,,1240000000.0,14.63,0.09,566000000.0,237000000.0,152000000.0,1.8,-0.075,314000000.0,3.71,987000000.0,,0.76,-5.19,184000000.0,,,?%,0.027999999999999997,49.92,20.66,28.06,29.07,410370.0,282070.0,84540000.0,67780000.0,0.0003,0.8729,1580000.0,4.07,0.0233,0.0187,1690000.0,,,,,,0.0,,,,
FTEK,29490000.0,25770000.0,,,,0.55,0.89,0.48,26.9,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.0394,0.0001,0.0001,-0.0101,54090000.0,2.24,0.18600000000000003,18020000.0,958000.0,-345000.0,-0.09,,4200000.0,0.17,,,2.36,1.38,-697000.0,-6360000.0,0.65,0.1604,0.027999999999999997,1.83,0.96,1.24,1.23,38850.0,32050.0,24170000.0,16870000.0,0.2815,0.2338,49390.0,0.98,0.0026,0.002,46170.0,,,,,,0.0,,,,
FTEO,221160000.0,213460000.0,59.3,,,,4.92,,,2018-03-31 00:00:00,2018-12-31 00:00:00,0.0653,0.0,0.0401,0.1774,,,-0.136,5290000000.0,,,0.192,,,,,147.74,1.5,2.31,,,1.54,?%,0.027999999999999997,23.309,10.6948,13.7041,15.6199,190.0,1350.0,38110000.0,12250000.0,0.0,0.0,200.0,2.62,,0.0,200.0,,,,,,0.0,,2016-03-29 00:00:00,,
FTF,214960000.0,306070000.0,,,,11.87,0.82,16.9,,2017-12-31 00:00:00,2018-06-30 00:00:00,0.7465,0.804,,,18110000.0,,,18110000.0,,11050000.0,,,1470000.0,0.06,,,0.05,11.62,,,0.5,-0.1583,0.027999999999999997,11.55,8.6,9.44,9.91,153130.0,100550.0,22600000.0,,0.0,0.5782,30150.0,0.25,,0.0011,34110.0,1.03,0.10800000000000001,1.28,0.1335,9.95,6.1384,2019-02-15 00:00:00,2019-01-30 00:00:00,,
FTFT,26670000.0,88460000.0,,,,13.73,,45.53,-4.7,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0,-13.640999999999998,-0.0785,-1.3527,1940000.0,0.13,-0.9309999999999999,1730000.0,-18800000.0,-97380000.0,-7.314,,324120.0,0.01,43580000.0,585.68,0.37,-0.51,20460000.0,97130000.0,5.34,-0.6668,0.027999999999999997,3.6,0.49,0.8136,1.105,63250.0,75420.0,31020000.0,10900000.0,0.647,0.0058,239740.0,2.96,0.0384,0.0077,245590.0,,,,,,0.0,,,8.0,2016-03-16 00:00:00
FTGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTI,11060000000.0,9390000000.0,62.1,18.21,2.08,0.86,0.87,0.73,5.31,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0142,0.09300000000000001,0.0267,0.0157,12910000000.0,27.97,-0.24100000000000002,2530000000.0,1770000000.0,183800000.0,0.4,0.131,5610000000.0,12.4,4100000000.0,31.84,1.33,28.28,-413000000.0,-455100000.0,1.06,-0.2158,0.027999999999999997,34.39,18.2,22.71,25.92,4390000.0,3760000.0,449680000.0,425570000.0,0.2655,0.0,11830000.0,2.9,0.0257,0.0263,12240000.0,0.52,0.0228,0.52,0.0217,,1.3,2018-12-05 00:00:00,2018-11-19 00:00:00,0.5,2017-01-17 00:00:00
FTK,174930000.0,221550000.0,,-11.81,-0.48,0.66,0.91,0.84,-43.07,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.3322,-0.0654,-0.0334,-0.3733,263100000.00000003,4.56,-0.107,101970000.0,-5140000.0,-86670000.0,-1.52,,1830000.0,0.03,53400000.0,27.7,1.64,3.38,-7940000.0,-5950000.0,4.13,-0.495,0.027999999999999997,6.77,0.95,2.34,2.02,1280000.0,899800.0,56980000.0,49330000.0,0.0583,0.6256,6620000.0,3.31,0.1399,0.1161,7740000.0,,,,,,0.0,,,0.5,2007-07-12 00:00:00
FTLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTNT,14290000000.0,12650000000.0,43.91,35.69,1.51,7.93,14.15,7.02,44.13,2018-12-31 00:00:00,2018-12-31 00:00:00,0.1844,0.1283,0.0541,0.4154,1800000000.0,10.65,0.217,1350000000.0,286700000.0,332200000.0,1.91,,1650000000.0,9.68,,,1.77,5.93,638900000.0,524300000.0,0.99,0.7059,0.027999999999999997,94.37,49.02,75.57,77.84,2160000.0,1520000.0,170370000.0,145530000.0,0.172,0.7676999999999999,11240000.0,5.41,0.08109999999999999,0.066,10650000.0,,,,,,0.0,,,0.5,2011-06-02 00:00:00
FTNW,15810000.0,107880000.0,,0.53,,0.04,,0.29,12.28,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.1323,-0.0089,-0.0134,-8.9662,372280000.0,68.35,0.166,37020000.0,8790000.0,-49340000.0,-9.06,,5720000.0,0.47,96810000.0,,0.69,-0.72,-578000.0,15250000.0,4.45,-0.9486,0.027999999999999997,26.25,0.28,2.22,7.48,233350.0,376180.0,13870000.0,5350000.0,0.3132,0.1373,373170.0,1.54,0.039900000000000005,0.0207,250460.0,,,,,,0.0,,,25.0,2017-11-06 00:00:00
FTR,283930000.0,17460000000.0,,-7.47,-0.06,0.03,0.15,2.01,5.02,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.1669,0.1722,0.0367,-0.5429,8700000000.0,102.64,-0.055999999999999994,5570000000.0,3480000000.0,-1610000000.0,-19.02,,238000000.0,2.26,17410000000.0,895.88,0.49,18.41,1870000000.0,658750000.0,1.3,-0.6588,0.027999999999999997,11.64,1.81,2.32,4.19,3690000.0,4650000.0,105550000.0,103610000.0,0.0161,0.7955,49460000.0,14.92,0.9629,0.4686,41420000.0,,,0.6,0.2182,16.55,,2017-12-29 00:00:00,2017-12-14 00:00:00,15.0,2017-07-10 00:00:00
FTRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTS,15030000000.0,15030000000.0,20.38,13.53,,,1.39,,,2018-12-31 00:00:00,2018-12-31 00:00:00,0.139,0.0,0.0293,0.0731,,,0.045,3610000000.0,,,1.73,0.853,,,,134.3,0.77,25.31,,,0.37,0.0715,0.027999999999999997,36.21,30.88,34.86,33.65,359210.0,370380.0,426600000.0,426020000.0,0.0055000000000000005,0.5962,4620000.0,15.12,,0.0113,4730000.0,1.35,0.0386,1.28,0.0365,3.41,0.6659999999999999,2019-06-01 00:00:00,2019-05-16 00:00:00,0.25,2005-10-14 00:00:00
FTSI,1200000000.0,1470000000.0,1.44,9.73,0.09,0.69,16.11,0.84,3.05,2017-12-31 00:00:00,2018-09-30 00:00:00,0.1852,0.2309,0.3099,,1750000000.0,19.54,-0.255,456300000.0,483400000.0,686000000.0,7.64,-0.40700000000000003,167200000.0,1.53,559500000.0,750.0,2.72,0.68,422300000.0,193940000.0,,-0.4657,0.027999999999999997,22.6,5.96,8.15,10.21,658710.0,520220.0,109280000.0,32000000.0,0.2035,0.7875,2580000.0,4.01,0.0801,0.0236,2990000.0,,,,,,0.0,,,,
FTSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTSV,475600000.0,314960000.0,,-5.57,,,3.19,,-4.74,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0,0.0,,,,,,,-66519999.99999999,-65489999.99999999,-5.19,,154020000.0,4.96,523000.0,0.35,11.88,4.8,-60850000.0,,,?%,0.027999999999999997,23.83,12.02,15.1,14.96,166000.0,125030.0,31060000.0,14970000.0,0.1481,0.6724,974520.0,5.67,0.26170000000000004,0.031400000000000004,930390.0,,,,,,0.0,,,,
FTV,27110000000.0,29190000000.0,9.87,21.05,2.06,4.2,4.11,4.52,20.28,2018-12-31 00:00:00,2018-12-31 00:00:00,0.4516,0.1826,0.0629,0.1762,6450000000.0,18.68,-0.027000000000000003,3320000000.0,1440000000.0,883400000.0,8.21,5.27,1180000000.0,3.52,3430000000.0,51.87,1.45,19.72,1340000000.0,991280000.0,1.17,0.0496,0.027999999999999997,88.34,62.89,72.97,76.63,1820000.0,2190000.0,334500000.0,293830000.0,0.1223,0.8898,10970000.0,8.37,0.0405,0.0328,11970000.0,0.28,0.0035,0.28,0.0035,,0.1111,2019-03-29 00:00:00,2019-02-21 00:00:00,,
FTXD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTXG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTXH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUL,2580000000.0,4590000000.0,15.43,12.54,0.87,0.85,2.24,1.51,11.2,2018-12-01 00:00:00,2018-12-01 00:00:00,0.0563,0.0871,0.0387,0.1554,3040000000.0,60.11,0.133,842590000.0,409900000.0,171210000.0,3.29,,150790000.0,2.97,2250000000.0,195.07,1.99,22.7,253310000.0,188400000.0,1.4,-0.033,0.027999999999999997,59.58,39.61,46.39,48.92,497910.0,408070.0,50770000.0,50320000.0,0.0069,1.0321,2360000.0,3.98,0.0613,0.04650000000000002,2680000.0,0.62,0.0128,0.62,0.0123,1.15,0.1869,2019-02-21 00:00:00,2019-02-06 00:00:00,0.5,2006-08-07 00:00:00
FULT,2910000000.0,4100000000.0,14.48,11.63,4.24,3.79,1.29,5.34,,2018-12-31 00:00:00,2018-12-31 00:00:00,0.2715,0.3178,0.0102,0.0931,767630000.0,4.38,-0.027999999999999997,767620000.0,,208390000.0,1.18,0.708,524970000.0,3.09,1750000000.0,,,13.21,,,0.9,-0.0856,0.027999999999999997,19.55,14.38,16.3,16.7,1260000.0,1210000.0,170180000.0,168670000.0,0.008199999999999999,0.6607,5220000.0,4.02,0.0337,0.0297,5720000.0,0.48,0.029300000000000007,0.48,0.0285,2.58,0.4068,2019-01-15 00:00:00,2018-12-31 00:00:00,1.0,2006-05-17 00:00:00
FUN,2990000000.0,4330000000.0,23.79,15.07,2.56,2.22,32.67,3.21,9.09,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0939,0.2229,,1.4506,1350000000.0,23.99,0.095,,476740000.0,126650000.0,2.23,,191840000.0,3.4,1660000000.0,1813.06,,1.62,,,0.87,-0.2314,0.027999999999999997,70.63,45.73,53.49,52.73,198670.0,364370.0,56440000.0,55460000.0,0.0141,0.5447,674930.0,3.76,0.0136,0.012,591840.0,3.7,0.0718,3.6,0.0698,5.47,1.6121,2018-12-17 00:00:00,2018-12-03 00:00:00,0.5,1997-11-18 00:00:00
FUNC,120580000.0,288440000.0,17.12,,,2.15,1.04,5.15,,2017-12-31 00:00:00,2018-09-30 00:00:00,0.1295,0.2694,0.0054,0.0614,56020000.0,7.92,0.134,51330000.0,,7030000.0,0.99,0.373,23560000.0,3.33,187730000.0,,,16.32,17340000.0,,0.64,0.0088,0.027999999999999997,24.32,14.75,16.82,18.13,10890.0,11120.0,7080000.0,6760000.0,0.0439,0.3828,64810.0,8.2,0.0096,0.0091,69290.0,0.36,0.021,0.27,0.0157,,0.1837,2019-02-01 00:00:00,2019-01-14 00:00:00,1.0,1996-03-13 00:00:00
FUND,180870000.0,176910000.0,9.64,,,26.76,0.82,26.18,,2017-12-31 00:00:00,2018-06-30 00:00:00,2.7775,0.6069,0.0113,0.0875,6760000.0,0.26,0.765,4900000.0,,18770000.0,0.72,,60520.0,0.0,,,1.99,8.5,,,1.18,-0.145,0.027999999999999997,8.39,5.46,6.44,6.87,75640.0,27550.0,26020000.0,,0.3701,0.2486,41930.0,0.54,0.0024,0.0016,60970.0,1.21,0.17809999999999998,0.58,0.0848,5.29,0.2958,2018-12-28 00:00:00,2018-12-13 00:00:00,,
FUSB,62980000.0,3720000.0,27.03,,,1.76,0.79,0.1,,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0697,0.1409,0.0035,0.032,35710000.0,5.74,0.276,35710000.0,,2490000.0,0.37,,57950000.0,9.2,527000.0,,,12.61,,,1.54,-0.1589,0.027999999999999997,11.89,7.6,8.83,9.63,8090.0,12530.0,6300000.0,5940000.0,0.0567,0.1543,8310.0,1.48,0.0015,0.0013,14120.0,0.08,0.008,0.08,0.008,,0.2162,2019-01-02 00:00:00,2018-12-06 00:00:00,0.5,2003-07-23 00:00:00
FUV,69150000.0,77030000.0,,-8.07,,388.0,8.44,432.24,-8.84,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0,-50.5896,-0.3788,-0.6935,178220.0,0.01,,48580.0,-8720000.0,-8990000.0,-0.56,,3120000.0,0.19,1940000.0,22.23,4.44,0.55,-11530000.0,-10560000.0,,0.7413,0.027999999999999997,7.35,1.55,3.49,3.36,257010.0,2240000.0,15030000.0,7260000.0,0.4738,0.0825,214770.0,6.13,0.0298,0.0143,320080.0,,,,,,0.0,,,,
FV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVCB,241340000.0,220330000.0,20.71,12.31,,6.1,1.52,5.57,,2018-12-31 00:00:00,2018-12-31 00:00:00,0.2748,0.4158,0.009000000000000001,0.0846,39550000.0,3.38,0.165,39550000.0,,10870000.0,0.85,0.402,43490000.0,3.17,24410000.0,,,11.57,,,0.93,-0.0006,0.027999999999999997,21.2,15.53,17.56,18.7,21450.0,9370.0,13710000.0,11120000.0,0.2026,0.2217,25940.0,2.44,,0.0019,44550.0,,,,,,0.0,,,0.666666666667,2017-09-29 00:00:00
FVE,47030000.0,25280000.0,,-1.48,-0.04,0.04,0.5,0.02,-0.85,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.0462,-0.0592,-0.0923,-0.4276,1110000000.0,22.45,-0.022000000000000002,585150000.0,-29710000.0,-51430000.0,-1.04,,28300000.0,0.56,7950000.0,8.37,0.64,1.88,-35050000.0,-54190000.0,0.2,-0.3733,0.027999999999999997,1.6,0.31,0.76,0.75,145710.0,59220.0,50570000.0,23450000.0,0.5501,0.17920000000000005,202880.0,2.77,0.0078,0.004,151640.0,,,,,,0.0,,,,
FWONA,7300000000.0,12090000000.0,16.0,-47.14,11.61,3.81,1.26,6.31,30.36,2017-12-31 00:00:00,2018-09-30 00:00:00,0.2343,-0.0297,-0.003,0.0826,1920000000.0,8.29,0.29100000000000004,564000000.0,398000000.0,449000000.0,1.94,,151000000.0,0.65,5260000000.0,92.6,0.81,24.6,162000000.0,202880000.0,0.79,-0.0824,0.027999999999999997,37.32,26.63,30.55,31.79,150710.0,78630.0,25670000.0,208470000.0,0.0355,0.9818,1670000.0,12.79,0.0673,0.0072,1680000.0,,,,,,0.0,,,1.0,2016-04-18 00:00:00
FWONK,7290000000.0,12210000000.0,16.26,-50.17,1.94,3.8,1.28,6.37,30.67,2017-12-31 00:00:00,2018-09-30 00:00:00,0.2343,-0.0297,-0.003,0.0826,1920000000.0,8.29,0.29100000000000004,564000000.0,398000000.0,449000000.0,1.94,,151000000.0,0.65,5260000000.0,92.6,0.81,24.6,162000000.0,202880000.0,0.84,-0.1078,0.027999999999999997,39.35,27.51,31.34,33.14,1300000.0,908050.0,202880000.0,208470000.0,0.0297,0.9943,10060000.0,7.57,0.0512,0.0436,10570000.0,,,,,,0.0,,,1.0,2016-04-18 00:00:00
FWP,62980000.0,-28650000.0,,,,,0.74,,1.01,2017-12-31 00:00:00,2018-06-30 00:00:00,0.0,0.0,-0.0232,-0.0467,,,,-25000000.0,-28220000.0,-29410000.0,-0.62,,89260000.0,1.88,,,17.23,1.8,-281220000.0,-269230000.0,3.89,-0.5789,0.027999999999999997,4.45,0.71,1.14,1.77,42020.0,39050.0,47350000.0,3690000.0,0.0,0.2086,19670.0,1.34,,0.0004,37710.0,,,,,,0.0,2017-09-11 00:00:00,2017-09-12 00:00:00,,
FWRD,1940000000.0,1900000000.0,21.52,17.86,1.37,1.47,3.51,1.44,11.56,2018-12-31 00:00:00,2018-12-31 00:00:00,0.0697,0.0924,0.1053,0.1694,1320000000.0,45.06,0.165,308220000.0,164210000.0,92050000.0,3.12,-0.217,25660000.0,0.89,47640000.0,8.61,2.69,19.14,152550000.0,83660000.0,1.71,0.1989,0.027999999999999997,72.81,51.0,59.11,62.07,138410.0,224300.0,28910000.0,26340000.0,0.0143,0.9811,497190.0,4.7,0.0196,0.017,486500.0,0.72,0.011000000000000001,0.63,0.0097,1.03,0.2019,2019-03-22 00:00:00,2019-03-06 00:00:00,0.666666666667,2005-04-04 00:00:00
FYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,6290000000.0,7190000000.0,22.91,14.9,1.41,2.1,4.48,2.39,15.91,2018-12-31 00:00:00,2018-12-31 00:00:00,0.094,0.11599999999999999,0.0624,0.1986,3000000000.0,15.74,0.13699999999999998,1080000000.0,451870000.0,282020000.0,1.45,0.18,368400000.0,1.95,1300000000.0,92.87,1.39,7.42,339510000.0,148530000.0,1.11,0.0466,0.027999999999999997,33.99,25.48,29.64,29.34,689360.0,1780000.0,189420000.0,129230000.0,0.0058,0.6267,1140000.0,2.59,0.0093,0.006,1550000.0,0.34,0.0104,0.3,0.0091,,0.2069,2019-03-20 00:00:00,2019-03-07 00:00:00,,
GAB,1550000000.0,1960000000.0,8.4,,,50.82,0.98,64.21,,2017-12-31 00:00:00,2018-06-30 00:00:00,6.6928,0.3324,0.0034,0.1082,30460000.0,0.12,0.125,28500000.0,,184910000.0,0.73,-0.794,3770.0,0.0,,,0.87,6.26,,,1.34,-0.024,0.027999999999999997,6.64,4.75,5.68,6.01,827950.0,433820.0,252110000.0,,0.0007000000000000001,0.06559999999999999,337080.0,0.96,,0.0024,686610.0,0.76,0.12619999999999998,0.61,0.1,,0.1096,2018-12-14 00:00:00,2018-12-06 00:00:00,0.992063492063,2017-11-03 00:00:00
