,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),52-Week Change,S&P500 52-Week Change,52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,"Shares Short (Jan 31, 2019)","Short Ratio (Jan 31, 2019)","Short % of Float (Jan 31, 2019)","Short % of Shares Outstanding (Jan 31, 2019)","Shares Short (prior month Dec 31, 2018)",Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Last Split Factor (new per old),Last Split Date
BFZ,402610000.0,729070000.0,90.14,,,12.43,0.85,22.51,,2018-07-31 00:00:00,2018-07-31 00:00:00,0.1375,0.8437,0.0205,0.0093,32380000.000000004,1.01,-0.044000000000000004,32380000.0,,4450000.0,0.14,-0.742,,,328690000.0,69.58,0.07,14.81,34330000.0,14500000.0,0.19,-0.0448,0.027999999999999997,13.27,11.83,12.44,12.36,122290.0,75600.0,31900000.0,,0.0,0.2083,,,,,,0.53,0.0426,0.67,0.0533,,4.6964,2019-03-01 00:00:00,2018-03-14 00:00:00,,
BG,7440000000.0,17230000000.0,31.41,11.63,1.84,0.16,1.33,0.38,10.73,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0059,0.0214,0.0292,0.0382,45800000000.0,325.2,-0.001,1800000000.0,1610000000.0,226000000.0,1.68,2.967,386000000.0,2.74,7300000000.0,105.42,1.58,39.62,-245000000.0,-1040000000.0,1.32,-0.3035,0.027999999999999997,79.1,51.13,53.81,60.62,1440000.0,1070000.0,141080000.0,136720000.0,0.0055000000000000005,0.8584999999999999,3180000.0,1.85,0.0255,0.0225,3940000.0,2.0,0.038,1.88,0.0357,2.18,1.1824,2019-03-04 00:00:00,2019-02-15 00:00:00,,
BGB,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.65,-0.0756,0.027999999999999997,16.21,13.03,14.17,14.98,272260.0,175950.0,,,0.0005,0.4495,,,,,,1.32,0.0914,,,,0.9265,2019-02-28 00:00:00,2018-05-22 00:00:00,,
BGCP,2450000000.0,2540000000.0,10.41,7.95,0.68,1.29,2.76,1.34,,2018-12-31 00:00:00,2018-12-31 00:00:00,0.1042,0.0643,0.0233,0.1,1900000000.0,5.89,-0.47200000000000003,1700000000.0,,70330000.0,0.6,,475190000.0,1.41,784840000.0,88.39,1.25,2.28,,,1.35,-0.2675,0.027999999999999997,9.43,4.93,6.09,6.75,3090000.0,2520000.0,291480000.0,281090000.0,0.0981,0.6108,6080000.0,2.39,0.0237,0.0184,6830000.0,0.56,0.0895,0.68,0.1086,6.12,3.1304,2019-03-20 00:00:00,2019-03-05 00:00:00,0.64308681672,2018-12-03 00:00:00
BGFV,83360000.0,168220000.0,,19.45,7.57,0.08,0.45,0.17,9.07,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.0116,0.0018,0.0025,-0.0593,983370000.0,46.87,-0.015,323330000.0,18540000.0,-11390000.0,-0.55,-0.47600000000000003,5020000.0,0.24,90750000.0,50.27,2.36,8.6,-6890000.0,-20660000.0,0.89,-0.34,0.027999999999999997,9.75,2.25,3.52,4.3,310700.0,152270.0,21430000.0,19490000.0,0.0732,0.6151,5960000.0,17.98,0.3587,0.2782,5760000.0,0.2,0.0505,0.6,0.1515,5.64,,2018-12-14 00:00:00,2018-11-29 00:00:00,,
BGG,566310000.0,1040000000.0,,8.46,-0.27,0.3,1.12,0.55,8.16,2018-07-01 00:00:00,2018-12-30 00:00:00,-0.0125,0.0348,0.0255,-0.0455,1890000000.0,45.12,0.132,404710000.0,126870000.0,-23830000.0,-0.57,,34050000.0,0.81,512880000.0,101.47,1.31,12.01,-58440000.0,-102230000.0,1.48,-0.3917,0.027999999999999997,23.1,11.34,13.24,16.14,466290.0,275700.0,42110000.0,40600000.0,0.0486,0.9186,2670000.0,4.28,0.0885,0.0634,2990000.0,0.56,0.0429,0.56,0.0421,2.65,,2019-04-03 00:00:00,2019-03-18 00:00:00,0.5,2004-11-10 00:00:00
BGH,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.7,-0.0612,0.027999999999999997,19.95,15.13,17.11,17.97,107540.0,67250.0,,,0.0,0.16760000000000005,,,,,,1.78,0.1012,,,,1.0170000000000001,2018-03-01 00:00:00,2018-05-21 00:00:00,10.0,2014-04-29 00:00:00
BGI,19040000.0,79250000.0,2.98,,,0.16,0.88,0.67,-7.83,2018-03-31 00:00:00,2018-09-29 00:00:00,0.0546,-0.1093,-0.0498,-1.2818,118030000.0,6.57,0.055999999999999994,43550000.0,-10120000.0,-19790000.0,0.36,,1220000.0,0.07,61430000.0,282.8,1.17,1.21,-23970000.0,-22690000.0,5.3,-0.124,0.027999999999999997,2.35,0.76,0.96,1.21,20030.0,9100.0,10240000.0,4270000.0,0.5835,0.0041,15560.0,2.34,0.0036,0.0009,10530.0,,,,,,0.0,,,,
BGIO,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,-0.0731,0.027999999999999997,9.65,7.66,8.68,8.7,98200.0,76280.0,,,0.0019,0.2343,,,,,,0.6,0.068,,,,,2019-01-09 00:00:00,2018-03-14 00:00:00,,
BGNE,8279999999.999998,6080000000.0,,-11.99,-0.56,47.55,4.01,34.94,-12.08,2017-12-31 00:00:00,2018-09-30 00:00:00,-2.9177,-2.9446,-0.1853,-0.3706,174030000.0,3.35,-0.754,-19300000.0,-503370000.0,-507770000.0,-9.81,,2030000000.0,35.74,195970000.0,9.88,11.57,34.63,-260070000.0,-176640000.0,1.23,-0.1089,0.027999999999999997,220.1,105.19,133.85,143.09,549240.0,234620.0,59530000.0,30810000.0,0.0003,0.8815999999999999,3460000.0,6.47,,0.0581,3250000.0,,,,,,0.0,,,,
